Ticker,Name,Last Price,Market Cap,Trading Region,Industry,Total Revenues (LTM)
KURN,Kuros Biosciences AG,20.6000,1022.09,Europe,Biotechnology,146.06
CRVS,Corvus Pharmaceuticals Inc.,11.9000,1000.68,United States and Canada,Biotechnology,
OXB,Oxford Biomedica plc,6.0400,979.27,Europe,Biotechnology,227.47
SPRY,ARS Pharmaceuticals Inc.,9.8470,977.84,United States and Canada,Biotechnology,98.99
JBIO,Jade Biosciences Inc.,15.8100,938.48,United States and Canada,Biotechnology,
XNCR,Xencor Inc.,12.2920,911.35,United States and Canada,Biotechnology,97.36
PHARM,Pharming Group N.V.,1.1100,908.71,Europe,Biotechnology,369.49
MGTX,MeiraGTx Holdings plc,9.7450,902.48,United States and Canada,Biotechnology,79.76
ORIC,ORIC Pharmaceuticals Inc.,8.4220,871.82,United States and Canada,Biotechnology,
ABUS,Arbutus Biopharma Corporation,4.3450,858.30,United States and Canada,Biotechnology,191.44
SANA,Sana Biotechnology Inc.,2.8450,853.21,United States and Canada,Biotechnology,
ODTX,Odyssey Therapeutics Inc.,17.9850,848.43,United States and Canada,Biotechnology,2.98
JANX,Janux Therapeutics Inc.,13.7200,836.71,United States and Canada,Biotechnology,13.73
KURA,Kura Oncology Inc.,9.4250,836.70,United States and Canada,Biotechnology,71.64
CGEM,Cullinan Therapeutics Inc.,13.3740,821.94,United States and Canada,Biotechnology,
OLMA,Olema Pharmaceuticals Inc.,9.3420,816.00,United States and Canada,Biotechnology,
IVA,Inventiva S.A.,3.2700,787.30,Europe,Biotechnology,7.94
ZSQR,Z Squared Inc.,15.0900,777.13,United States and Canada,Biotechnology,
BSLN,Basilea Pharmaceutica AG,49.8000,776.60,Europe,Biotechnology,293.34
VOR,Vor Biopharma Inc.,14.0280,760.12,United States and Canada,Biotechnology,
GERN,Geron Corporation,1.1750,753.79,United States and Canada,Biotechnology,196.12
AVTX,Avalo Therapeutics Inc.,14.2960,751.48,United States and Canada,Biotechnology,0.06
ANNX,Annexon Inc.,4.5180,740.24,United States and Canada,Biotechnology,
BIO0,Biotest GmbH & Co. KGaA,32.0000,732.97,Europe,Biotechnology,762.34
EVMN,Evommune Inc.,20.2700,730.09,United States and Canada,Biotechnology,10.00
REPL,Replimune Group Inc.,8.8060,727.13,United States and Canada,Biotechnology,
NNNN,Anbio Biotechnology,16.5000,724.20,United States and Canada,Biotechnology,8.65
SLDB,Solid Biosciences Inc.,7.1350,702.44,United States and Canada,Biotechnology,
AURA,Aura Biosciences Inc.,6.2640,690.92,United States and Canada,Biotechnology,
DSGN,Design Therapeutics Inc.,10.6950,667.98,United States and Canada,Biotechnology,
TENX,Tenax Therapeutics Inc.,11.3100,665.91,United States and Canada,Biotechnology,
ALLO,Allogene Therapeutics Inc.,1.9250,664.42,United States and Canada,Biotechnology,
CTMX,CytomX Therapeutics Inc.,2.9850,649.84,United States and Canada,Biotechnology,35.54
BBOT,BridgeBio Oncology Therapeutics Inc.,7.7750,622.83,United States and Canada,Biotechnology,
IRWD,Ironwood Pharmaceuticals Inc.,3.7250,613.18,United States and Canada,Biotechnology,361.51
IMMX,Immix Biopharma Inc.,8.7230,608.78,United States and Canada,Biotechnology,
RIGL,Rigel Pharmaceuticals Inc.,32.5400,602.06,United States and Canada,Biotechnology,299.77
CBIO,Crescent Biopharma Inc.,17.8850,594.30,United States and Canada,Biotechnology,11.88
TRAX,First Tracks Biotherapeutics Inc.,16.8930,589.44,United States and Canada,Biotechnology,
CADL,Candel Therapeutics Inc.,8.0310,588.43,United States and Canada,Biotechnology,
DRUG,Bright Minds Biosciences Inc.,83.4000,584.79,United States and Canada,Biotechnology,
ACHV,Achieve Life Sciences Inc.,5.5490,569.66,United States and Canada,Biotechnology,
TECX,Tectonic Therapeutic Inc.,29.7460,561.28,United States and Canada,Biotechnology,
GNFT,Genfit S.A.,9.6900,559.31,Europe,Biotechnology,76.87
MDXG,MiMedx Group Inc.,3.7050,551.84,United States and Canada,Biotechnology,389.42
GYRE,Gyre Therapeutics Inc.,5.8630,535.71,United States and Canada,Biotechnology,117.05
PRME,Prime Medicine Inc.,2.9250,528.31,United States and Canada,Biotechnology,4.03
XOMA,XOMA Royalty Corporation,41.9640,526.27,United States and Canada,Biotechnology,48.55
CLYM,Climb Bio Inc.,10.8440,518.00,United States and Canada,Biotechnology,
PROK,ProKidney Corp.,1.7040,514.71,United States and Canada,Biotechnology,0.89
ALT,Altimmune Inc.,2.6350,512.44,United States and Canada,Biotechnology,0.04
VLA,Valneva SE,2.2920,503.85,Europe,Biotechnology,180.69
RZLT,Rezolute Inc.,4.7550,496.74,United States and Canada,Biotechnology,
EIKN,Eikon Therapeutics Inc.,9.1630,496.07,United States and Canada,Biotechnology,
STRO,Sutro Biopharma Inc.,28.9210,479.23,United States and Canada,Biotechnology,99.61
KYTX,Kyverna Therapeutics Inc.,7.9000,478.19,United States and Canada,Biotechnology,
NGNE,Neurogene Inc.,29.6780,468.97,United States and Canada,Biotechnology,
FDMT,4D Molecular Therapeutics Inc.,8.8900,464.74,United States and Canada,Biotechnology,88.24
CABA,Cabaletta Bio Inc.,2.8350,462.26,United States and Canada,Biotechnology,
ASMB,Assembly Biosciences Inc.,23.3000,461.74,United States and Canada,Biotechnology,71.10
AVCT,Avacta Group Plc,0.7100,445.83,Europe,Biotechnology,0.15
OVID,Ovid Therapeutics Inc.,2.3450,437.67,United States and Canada,Biotechnology,7.12
ARTV,Artiva Biotherapeutics Inc.,9.0060,437.59,United States and Canada,Biotechnology,
PRTA,Prothena Corporation plc,8.3220,435.68,United States and Canada,Biotechnology,57.94
PRTC,PureTech Health plc,1.3120,428.21,Europe,Biotechnology,4.66
MNPR,Monopar Therapeutics Inc.,63.1300,422.89,United States and Canada,Biotechnology,
CCCC,C4 Therapeutics Inc.,3.7950,419.60,United States and Canada,Biotechnology,34.86
FBRX,Forte Biosciences Inc.,17.0760,417.26,United States and Canada,Biotechnology,
PRLD,Prelude Therapeutics Incorporated,4.1890,415.45,United States and Canada,Biotechnology,16.72
VTVT,vTv Therapeutics Inc.,33.3260,413.56,United States and Canada,Biotechnology,36.84
EBS,Emergent BioSolutions Inc.,7.9700,411.22,United States and Canada,Biotechnology,676.80
FYB,Formycon AG,20.0000,409.71,Europe,Biotechnology,60.42
ANL,Adlai Nortye Ltd.,10.2310,409.24,United States and Canada,Biotechnology,5.00
IPSC,Century Therapeutics Inc.,2.2350,403.09,United States and Canada,Biotechnology,0.00
INDP,Indaptus Therapeutics Inc.,3.5500,402.01,United States and Canada,Biotechnology,
MYGN,Myriad Genetics Inc.,4.2450,400.93,United States and Canada,Biotechnology,829.00
EPRX,Eupraxia Pharmaceuticals Inc.,8.5600,399.61,United States and Canada,Biotechnology,
AUTL,Autolus Therapeutics plc,1.4950,397.88,United States and Canada,Biotechnology,92.62
OCGN,Ocugen Inc.,1.1750,397.76,United States and Canada,Biotechnology,4.46
SGMT,Sagimet Biosciences Inc.,6.3360,391.26,United States and Canada,Biotechnology,
CYDY,CytoDyn Inc.,0.2800,391.12,United States and Canada,Biotechnology,
BNTC,Benitec Biopharma Inc.,11.2490,386.45,United States and Canada,Biotechnology,
XFOR,X4 Pharmaceuticals Inc.,4.0100,378.22,United States and Canada,Biotechnology,9.01
LXEO,Lexeo Therapeutics Inc.,4.7350,371.80,United States and Canada,Biotechnology,
EDIT,Editas Medicine Inc.,2.3940,367.39,United States and Canada,Biotechnology,38.69
RGNX,REGENXBIO Inc.,7.0350,363.69,United States and Canada,Biotechnology,87.82
GLSI,Greenwich LifeSciences Inc.,24.6550,361.89,United States and Canada,Biotechnology,
PBYI,Puma Biotechnology Inc.,7.1040,361.59,United States and Canada,Biotechnology,227.18
HNSA,Hansa Biopharma AB (publ),33.2600,359.89,Europe,Biotechnology,20.12
LRMR,Larimar Therapeutics Inc.,3.4250,357.51,United States and Canada,Biotechnology,
CMPX,Compass Therapeutics Inc.,1.9850,357.47,United States and Canada,Biotechnology,
VSTM,Verastem Inc.,4.0150,352.81,United States and Canada,Biotechnology,49.59
ENTA,Enanta Pharmaceuticals Inc.,12.0010,348.97,United States and Canada,Biotechnology,69.21
VNDA,Vanda Pharmaceuticals Inc.,5.7740,347.22,United States and Canada,Biotechnology,217.78
ZURA,Zura Bio Limited,3.6050,342.04,United States and Canada,Biotechnology,
STTK,Shattuck Labs Inc.,4.4050,337.78,United States and Canada,Biotechnology,1.00
CATX,Perspective Therapeutics Inc.,2.9450,335.87,United States and Canada,Biotechnology,0.62
VICO,Vicore Pharma Holding AB (publ),10.9600,328.09,Europe,Biotechnology,0.37
ABEO,Abeona Therapeutics Inc.,5.7450,327.44,United States and Canada,Biotechnology,14.54
UPB,Upstream Bio Inc.,6.0050,326.79,United States and Canada,Biotechnology,3.32
CNXU,Conexeu Sciences Inc.,12.8900,325.73,United States and Canada,Biotechnology,
SLN,Silence Therapeutics plc,6.8200,322.14,United States and Canada,Biotechnology,0.84
AMRN,Amarin Corporation plc,15.1300,317.26,United States and Canada,Biotechnology,216.76
IRD,Opus Genetics Inc.,3.8890,316.55,United States and Canada,Biotechnology,11.98
FENC,Fennec Pharmaceuticals Inc.,9.0900,315.76,United States and Canada,Biotechnology,51.00
NWBO,Northwest Biotherapeutics Inc.,0.1886,315.11,United States and Canada,Biotechnology,1.50
RCKT,Rocket Pharmaceuticals Inc.,2.8550,311.75,United States and Canada,Biotechnology,
LCTX,Lineage Cell Therapeutics Inc.,1.2350,307.88,United States and Canada,Biotechnology,14.78
NVCT,Nuvectis Pharma Inc.,11.5300,305.84,United States and Canada,Biotechnology,
ORGO,Organogenesis Holdings Inc.,2.3450,301.74,United States and Canada,Biotechnology,514.70
DMAC,DiaMedica Therapeutics Inc.,5.5880,301.10,United States and Canada,Biotechnology,
PALI,Palisade Bio Inc.,1.7750,297.18,United States and Canada,Biotechnology,
EDT,Spectral Medical Inc.,1.3900,291.46,United States and Canada,Biotechnology,1.98
SANN,Santhera Pharmaceuticals Holding AG,15.6000,291.14,Europe,Biotechnology,97.43
LYEL,Lyell Immunopharma Inc.,12.3480,288.13,United States and Canada,Biotechnology,0.03
BCYC,Bicycle Therapeutics plc,4.0740,284.41,United States and Canada,Biotechnology,63.50
IKT,Inhibikase Therapeutics Inc.,1.6650,283.75,United States and Canada,Biotechnology,
SCLP,Scancell Holdings plc,0.2025,281.77,Europe,Biotechnology,6.19
ORY,Oryzon Genomics S.A.,3.1200,280.33,Europe,Biotechnology,12.61
RNAC,Cartesian Therapeutics Inc.,9.1450,268.69,United States and Canada,Biotechnology,1.77
IMRX,Immuneering Corporation,4.1470,268.30,United States and Canada,Biotechnology,
ELDN,Eledon Pharmaceuticals Inc.,3.4550,267.08,United States and Canada,Biotechnology,
AKBA,Akebia Therapeutics Inc.,0.9950,266.92,United States and Canada,Biotechnology,232.40
ALERS,Eurobio Scientific Société anonyme,22.7000,264.92,Europe,Biotechnology,198.07
SRZN,Surrozen Inc.,22.6810,263.33,United States and Canada,Biotechnology,7.49
EGTX,Egetis Therapeutics AB (publ),5.3600,263.21,Europe,Biotechnology,6.66
SABS,SAB Biotherapeutics Inc.,3.7310,262.20,United States and Canada,Biotechnology,
TLSI,TriSalus Life Sciences Inc.,4.1750,256.41,United States and Canada,Biotechnology,44.88
IVVD,Invivyd Inc.,0.8650,254.84,United States and Canada,Biotechnology,55.87
ZNTL,Zentalis Pharmaceuticals Inc.,3.5650,253.78,United States and Canada,Biotechnology,
MGNX,MacroGenics Inc.,3.9350,250.12,United States and Canada,Biotechnology,157.08
ARMP,Armata Pharmaceuticals Inc.,6.8010,249.56,United States and Canada,Biotechnology,5.20
TNG,Transgene SA,0.7610,241.60,Europe,Biotechnology,8.47
